date,Last
2021-01-08 18:00:00,41009.08
2021-01-08 18:30:00,40219.04
2021-01-08 19:00:00,39920.67
2021-01-08 19:30:00,40221.04
2021-01-08 20:00:00,40365.09
2021-01-08 20:30:00,39631.22
2021-01-08 21:00:00,39062.88
2021-01-08 21:30:00,39687.16
2021-01-08 22:00:00,40075.82
2021-01-08 22:30:00,40108.55
2021-01-08 23:00:00,40672.02
2021-01-08 23:30:00,40802.96
2021-01-09 00:00:00,40586.96
2021-01-09 00:30:00,40765.77
2021-01-09 01:00:00,40286.09
2021-01-09 01:30:00,40133.33
2021-01-09 02:00:00,40196.51
2021-01-09 02:30:00,40252.39
2021-01-09 03:00:00,39973.0
2021-01-09 03:30:00,40217.9
2021-01-09 04:00:00,40209.91
2021-01-09 04:30:00,40201.87
2021-01-09 05:00:00,40206.43
2021-01-09 05:30:00,39714.5
2021-01-09 06:00:00,39293.41
2021-01-09 06:30:00,39179.34
2021-01-09 07:00:00,38978.46
2021-01-09 07:30:00,39383.26
2021-01-09 08:00:00,39639.21
2021-01-09 08:30:00,39522.68
2021-01-09 09:00:00,40167.54
2021-01-09 09:30:00,40530.0
2021-01-09 10:00:00,40348.36
2021-01-09 10:30:00,40621.39
2021-01-09 11:00:00,40376.03
2021-01-09 11:30:00,41056.48
2021-01-09 12:00:00,40565.77
2021-01-09 12:30:00,40675.36
2021-01-09 13:00:00,40874.99
2021-01-09 13:30:00,40888.87
2021-01-09 14:00:00,41051.66
2021-01-09 14:30:00,41080.01
2021-01-09 15:00:00,40819.01
2021-01-09 15:30:00,40543.54
2021-01-09 16:00:00,40525.16
2021-01-09 16:30:00,40110.74
2021-01-09 17:00:00,39995.09
2021-01-09 17:30:00,40446.56
2021-01-09 18:00:00,40421.4
2021-01-09 18:30:00,40660.82
2021-01-09 19:00:00,40650.0
2021-01-09 19:30:00,40818.64
2021-01-09 20:00:00,40665.91
2021-01-09 20:30:00,40502.38
2021-01-09 21:00:00,40610.35
2021-01-09 21:30:00,40696.71
2021-01-09 22:00:00,40718.81
2021-01-09 22:30:00,40386.12
2021-01-09 23:00:00,40283.73
2021-01-09 23:30:00,40230.87
2021-01-10 00:00:00,40088.22
2021-01-10 00:30:00,40513.98
2021-01-10 01:00:00,40581.48
2021-01-10 01:30:00,41185.12
2021-01-10 02:00:00,41141.55
2021-01-10 02:30:00,40860.0
2021-01-10 03:00:00,40942.75
2021-01-10 03:30:00,40447.18
2021-01-10 04:00:00,40320.67
2021-01-10 04:30:00,40356.65
2021-01-10 05:00:00,40342.46
2021-01-10 05:30:00,40556.66
2021-01-10 06:00:00,40451.74
2021-01-10 06:30:00,40659.19
2021-01-10 07:00:00,40904.5
2021-01-10 07:30:00,40899.8
2021-01-10 08:00:00,40978.57
2021-01-10 08:30:00,40653.89
2021-01-10 09:00:00,40798.3
2021-01-10 09:30:00,40925.1
2021-01-10 10:00:00,40768.3
2021-01-10 10:30:00,40382.54
2021-01-10 11:00:00,40429.19
2021-01-10 11:30:00,39326.07
2021-01-10 12:00:00,39175.09
2021-01-10 12:30:00,39636.74
2021-01-10 13:00:00,39538.56
2021-01-10 13:30:00,39922.14
2021-01-10 14:00:00,39800.89
2021-01-10 14:30:00,39764.82
2021-01-10 15:00:00,39431.58
2021-01-10 15:30:00,39739.84
2021-01-10 16:00:00,39671.82
2021-01-10 16:30:00,39397.1
2021-01-10 17:00:00,39232.76
2021-01-10 17:30:00,38166.39
2021-01-10 18:00:00,38571.95
2021-01-10 18:30:00,38050.92
2021-01-10 19:00:00,38106.11
2021-01-10 19:30:00,38251.05
2021-01-10 20:00:00,37472.4
2021-01-10 20:30:00,35932.8
2021-01-10 21:00:00,37727.29
2021-01-10 21:30:00,37578.38
2021-01-10 22:00:00,38052.58
2021-01-10 22:30:00,38818.2
2021-01-10 23:00:00,38429.85
2021-01-10 23:30:00,38289.1
2021-01-11 00:00:00,38150.02
2021-01-11 00:30:00,37609.47
2021-01-11 01:00:00,37192.1
